occurrence.genus_name	occurrence.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
Torosaurus	latus	YPM 1830	United States	Wyoming	Cretaceous	Late/Upper Cretaceous	Maastrichtian	66.5	66.3	Lance
Torosaurus	latus		United States	Wyoming	Cretaceous	Late/Upper Cretaceous	Maastrichtian	66.5	66.3	Lance
Torosaurus	latus		United States	Colorado	Cretaceous	Late/Upper Cretaceous	Maastrichtian	66.5	66.3	Laramie
Torosaurus	latus	YPM 1830	United States	South Dakota	Cretaceous	Late/Upper Cretaceous	Maastrichtian	66.5	66.3	Hell Creek
Torosaurus	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Scollard
Torosaurus	sp.		Canada	Saskatchewan	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Frenchman
Torosaurus	sp.		United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	McRae
Triceratops	galeus	USNM 2410	United States	Colorado	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Arapahoe
Triceratops	horridus	NMC 8862	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Scollard
Triceratops	horridus	NMC 8862	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Scollard
Triceratops	horridus	YPM 1820	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Triceratops	horridus	YPM 1820	United States	North Dakota	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Hell Creek
Triceratops	horridus	YPM 1820	United States	Wyoming	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Lance
Triceratops	horridus	YPM 1823 (= Sk. 4)	United States	Wyoming	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Laramie
Triceratops	horridus	YPM 1201	United States	Wyoming	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Laramie
Triceratops	horridus	YPM	United States	Wyoming	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Lance
Triceratops	horridus	YPM 1834	United States	Wyoming	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Lance
Triceratops	horridus	USNM 2412	United States	Wyoming	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Laramie
