collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
52012	ETE	"M. Carrano"		Zanabazar	"n. sp."	junior		Saurornithoides	"n. sp."	junior	"GI SPS 100-1"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Nemegt
52072	ETE	"M. Carrano"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"St. Mary River"
52991	ETE	"M. Carrano"		Troodon		formosus		Troodontidae		indet.	"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
53050	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	83.8	73.7	Oldman
53050	ETE	"M. Carrano"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	83.8	73.7	Oldman
53055	ETE	"M. Carrano"	cf.	Troodon		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Santonian	85.800	84.900	"Two Medicine"
53056	ETE	"M. Carrano"	cf.	Troodon		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Santonian	85.800	84.900	"Two Medicine"
53493	PaleoDB	"R. Whatley"	"n. gen."	Sinusonasus	"n. sp."	magnodens					"IVPP V11527"	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"	Aptian	125.450	122.460	Yixian
53493	PaleoDB	"R. Whatley"	"n. gen."	Mei	"n. sp."	long					"IVPP V.12733"	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"	Aptian	125.450	122.460	Yixian
53493	PaleoDB	"R. Whatley"	"n. gen."	Sinovenator	"n. sp."	changii					"IVPP V12615"	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"	Aptian	125.450	122.460	Yixian
55363	ETE	"M. Carrano"	cf.	Troodon		sp.		Troodon		sp.		Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
55685	ETE	"M. Carrano"		Sinovenator		changii					"IVPP V12615"	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"	Aptian	123.2	123.2	Yixian
55709	ETE	"M. Carrano"	"n. gen."	Daliansaurus	"n. sp."	liaoningensis					"DNHM D2885"	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"		130.000	122.460	Yixian
58168	ETE	"M. Carrano"		Euronychodon	"n. sp."	asiaticus					"CCMGE 9/12454"	Uzbekistan	Navoi	Cretaceous	"Late/Upper Cretaceous"	Turonian	94.300	89.300	Bissekty
58808	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
59115	ETE	"M. Carrano"		Troodon		formosus		Stenonychosaurus		inequalis	"NMC 8539"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59131	ETE	"M. Carrano"		Troodon		formosus		Stenonychosaurus		inequalis	"NMC 8539"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59137	ETE	"M. Carrano"		Troodon		formosus		Stenonychosaurus		inequalis	"NMC 8539"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59217	ETE	"M. Carrano"		Troodon	cf.	formosus					"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Judith River"
