collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	collection.reference_no	country	state	period	epoch	stage	ma_max	ma_min	formation
181420		"M. Carrano"	"n. gen."	Saichania	"n. sp."	chulsanensis		Ankylosauridae		indet.	"GI SPS 100/151"	9899	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Baruungoyot
181421		"M. Carrano"		Tarchia	"n. sp."	kielanae		Ankylosauridae		indet.	"ZPal MgD-I/111"	9899	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Baruungoyot
188573		"M. Carrano"	cf.	Minmi		sp.						63251	Australia	Victoria	Cretaceous	"Early/Lower Cretaceous"	Aptian	122.460	112.600	Wonthaggi
190394		"G. Lloyd"	"n. gen."	Zuul	"n. sp."	crurivastator					"ROM 75860"	62290	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	76.2	75.2	"Judith River"
194876		"M. Carrano"		Nodocephalosaurus		kirtlandensis					"SMP VP-900"	66248	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
196405		"M. Carrano"		Euoplocephalus		sp.						17500	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
196406		"M. Carrano"		Euoplocephalus		sp.						17500	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
196407		"M. Carrano"		Euoplocephalus		sp.						17500	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
196419		"M. Carrano"		Scolosaurus		thronus		Euoplocephalus		tutus	"ROM 1930 (incl. CMN 842)"	16964	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
196420		"M. Carrano"		Euoplocephalus		tutus					"NMC 210"	16964	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
196592		"P. Holroyd"	"n. gen."	Akainacephalus	"n. sp."	johnsoni					"UMNH VP 20202"	66889	"United States"	Utah	Cretaceous	"Late/Upper Cretaceous"	Campanian	76.26	76.26	Kaiparowits
205652		"M. Carrano"		Pinacosaurus		sp.						70504	China	"Nei Mongol"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Wulansuhai
206819		"M. Carrano"		Ankylosaurus		magniventris					"AMNH 5895"	71136	Canada	Saskatchewan	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Frenchman
