collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
25074	PaleoDB	"M. Carrano"	"n. gen."	Rahonavis	"n. sp."	ostromi	"n. gen."	Rahona	"n. sp."	ostromi	"University of Antananarivo 8656"	Madagascar	Mahajanga	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Maevarano
25074	PaleoDB	"M. Carrano"	?	Rahonavis		ostromi					"University of Antananarivo 8656"	Madagascar	Mahajanga	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Maevarano
25658	Fossilworks	"J. Alroy"		Saurornitholestes		sp.		Dromaeosauridae		indet.		"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
26760	PaleoDB	"M. Carrano"	?	Dromaeosaurus		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
26760	PaleoDB	"M. Carrano"	?	Saurornitholestes		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
26760	PaleoDB	"M. Carrano"		Richardoestesia		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
27017	PaleoDB	"M. Carrano"	"n. gen."	Utahraptor	"n. sp."	ostrommaysi					"CEUM 184"	"United States"	Utah	Cretaceous	"Early/Lower Cretaceous"	Barremian	130.000	125.450	"Cedar Mountain"
27025	PaleoDB	"M. Carrano"		Utahraptor		ostrommaysi					"CEUM 184"	"United States"	Utah	Cretaceous	"Early/Lower Cretaceous"	Aptian	125.450	122.460	"Cedar Mountain"
27894	ETE	"M. Carrano"	cf.	Richardoestesia		sp.						Romania	Hunedoara	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Sânpetru
28401	Fossilworks	"J. Alroy"	cf.	Nuthetes		destructor					"DORCM G913"	"United Kingdom"	England	Cretaceous	"Early/Lower Cretaceous"	Berriasian	145.500	140.200	Lulworth
28454	PaleoDB	"M. Carrano"	"n. gen."	Variraptor	"n. sp."	mechinorum					"MÃ©chin Collection"	France	"Provence-Alpes-Côte d'Azur"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Argiles et Grès à Reptiles"
28455	PaleoDB	"M. Carrano"		Variraptor		mechinorum		Dromaeosauridae		indet.	"MÃ©chin Collection"	France	Bouches-du-Rhône	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Grès à Reptiles"
